source_file	ref_kind	ref_value
missions/14.map	drop_id	100
missions/bsa.map	drop_id	150
missions/bsa.map	drop_item	130
missions/bsa.map	drop_item	140
missions/bt.map	drop_id	440
missions/bt.map	drop_id	450
missions/bt.map	drop_id	430
missions/cf.lua	runtime_give_item	linkedObj:GetVar("drop_id"
missions/cf.map	drop_id	300
missions/cf.map	drop_id	290
missions/cf.map	drop_id	350
missions/cf.map	drop_id	340
missions/cf.map	drop_id	330
missions/dtb.map	drop_id	120
missions/dtb.map	drop_id	470
missions/dtb.map	drop_id	110
missions/dtb.map	drop_id	100
missions/esperanza.map	drop_id	390
missions/esperanza.map	drop_id	380
missions/esperanza.map	drop_id	390
missions/esperanza.map	drop_item	360
missions/esperanza.map	drop_item	370
missions/junkyard.map	drop_id	230
missions/junkyard.map	drop_id	220
missions/junkyard.map	drop_id	240
missions/junkyard.map	drop_id	250
missions/junkyard.map	drop_id	260
missions/junkyard.map	drop_id	280
missions/junkyard.map	drop_id	270
missions/kharum.map	drop_item	460
missions/kharum.map	drop_id	180
missions/kharum.map	drop_id	190
missions/kharum.map	drop_id	200
missions/kharum.map	drop_id	210
missions/rh.map	drop_id	420
missions/rh.map	drop_id	400
missions/rh.map	drop_id	410
missions/rom.map	drop_item	160
missions/rom.map	drop_id	170
missions/safari.map	drop_item	50
missions/safari.map	drop_item	BillItem
missions/safari.map	drop_id	80
missions/safari.map	drop_id	90
missions/safari.map	drop_item	60
missions/safari.map	drop_item	70
